error_Jacobi error_Gauss error_ICF error_ICNE error_Multigrid
0.000000 48557006659150681298335834595677227448270848.000000 0.000000 0.000000 0.000000
0.000000 101455246238011403271969241749013968298442752.000000 0.000000 0.000000 0.000000
0.000000 368840129469928671490641754856935612775137280.000000 0.000000 0.000000 0.000000
0.000000 770656091793300405476699169770452812480643072.000000 0.000000 0.000000 0.000000
0.000000 2802926569110327996954576206762631873788116992.000000 0.000000 0.000000 0.000000
0.000000 5856435153444832829509333949091278386569936896.000000 0.000000 0.000000 0.000000
0.000000 21309053546744337145239611195673251302866944000.000000 0.000000 0.000000 0.000000
0.000000 44523015533110613403579416525283226139448311808.000000 0.000000 0.000000 0.000000
0.000000 162064415452071752684893392824585724652427411456.000000 0.000000 0.000000 0.000000
0.000000 338615156060720039129390043945016973516490145792.000000 0.000000 0.000000 0.000000
0.000000 1233033581207277029508884683843262680230975766528.000000 0.000000 0.000000 0.000000
0.000000 2576271104253911317887879709021337067207167836160.000000 0.000000 0.000000 0.000000
0.000000 9384667797319039014774359008998631569695717720064.000000 0.000000 0.000000 0.000000
0.000000 19607992884318642770282055982802400732938346954752.000000 0.000000 0.000000 0.000000
0.000000 71451800365949843258112806782474305307222460071936.000000 0.000000 0.000000 0.000000
0.000000 149287912453278813484302119465693851430399592366080.000000 0.000000 0.000000 0.000000
0.000000 544191216308329878756625045616177546727281550950400.000000 0.000000 0.000000 0.000000
0.000000 1136998640523725177364659152725257392516406894919680.000000 0.000000 0.000000 0.000000
0.000000 4145989211760216845573460200733942364102681589448704.000000 0.000000 0.000000 0.000000
0.000000 8662300424378036787894093397078011982315033494290432.000000 0.000000 0.000000 0.000000
0.000000 31596398512098979851922754743154935197046389166047232.000000 0.000000 0.000000 0.000000
0.000000 66014459731925484726602459405349431335383681806106624.000000 0.000000 0.000000 0.000000
0.000000 240865490415048839776168973620502009864868368262103040.000000 0.000000 0.000000 0.000000
0.000000 503236634788470145910285061248611690603000111082504192.000000 0.000000 0.000000 0.000000
0.000000 1836683127681574316380587888375137739679686663352614912.000000 0.000000 0.000000 0.000000
